frontage_id,map_address,map_source_id,candidate_building_ids,directory_candidate_addresses,match_status,note
frontage-20-001,1600,MAP-1911-20,[],[1600],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-002,1604,MAP-1911-20,[],[1604],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-003,1608,MAP-1911-20,[],[1608],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-004,1612,MAP-1911-20,"[""pa-1612-1""]",[1612],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-005,1616,MAP-1911-20,[],[1616],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-006,1620,MAP-1911-20,"[""pa-1620-1904-correction""]",[1620],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-007,1626,MAP-1911-20,[],[1626],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-008,1628,MAP-1911-20,[],[1628],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-009,1630,MAP-1911-20,"[""pa-1630-50""]",[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-010,1634,MAP-1911-20,[],[1634],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-011,1636,MAP-1911-20,[],[1636],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-012,1638,MAP-1911-20,"[""pa-1638-2""]",[1638],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-013,1700,MAP-1911-20,"[""pa-1700-52""]",[1700],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-014,1702,MAP-1911-20,"[""pa-1702-43""]",[],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
frontage-20-015,1706,MAP-1911-20,"[""pa-1706-53""]",[1706],candidate_by_printed_number_not_resolved_identity,"Multi-address buildings, moved sites, predecessor phases and 1909 renumbering require evidence review."
