source_file,pdf_page,address,property,value,unit,note,temporal_qualification,source_id
reid-nrhp-2003.pdf,4,2013 S. Prairie Avenue,lot and facade width,25,ft,House spans full lot width.,"2003 nomination observation; likely original envelope, confirm against 1904 map",pa-reid-nrhp-2003
reid-nrhp-2003.pdf,4,2013 S. Prairie Avenue,height form,3,stories above raised basement,"Three bays; granite basement, cream textured brick, limestone and terra cotta details.",2003 observation,pa-reid-nrhp-2003
reid-nrhp-2003.pdf,5,2013 S. Prairie Avenue,stair wall panel height,7,ft approx,Mahogany panels.,2003 observation,pa-reid-nrhp-2003
reid-nrhp-2003.pdf,6,2013 S. Prairie Avenue,music-room dome diameter,7,ft approx,Stained glass dome.,2003 observation,pa-reid-nrhp-2003
reid-nrhp-2003.pdf,8,2013 S. Prairie Avenue,main and second floor ceiling,10,ft,Third-floor ballroom ceiling 12 ft.,2003 observation,pa-reid-nrhp-2003
reid-nrhp-2003.pdf,8,2013 S. Prairie Avenue,ballroom ceiling,12,ft,Picture molding at 9 ft.,2003 observation,pa-reid-nrhp-2003
reid-nrhp-2003.pdf,23,2013 S. Prairie Avenue,main girder span,25,ft,Steel frame; reinforced concrete floor construction described.,Nomination cites Carl Condit; verify original structural drawings,pa-reid-nrhp-2003
reid-nrhp-2003.pdf,32,2013 S. Prairie Avenue,plans,4,floor diagrams,"Ground, first, second, third; carriage house and rear garden shown.",Nomination-era plan; scale/dimensions must be inspected before metric extraction,pa-reid-nrhp-2003
reid-nrhp-2003.pdf,13,2031–2035 S. Prairie Avenue,rowhouse lot width,25,ft,Three townhouses dated 1869 with Lemont limestone fronts.,Historic synthesis; construction claim needs period confirmation,pa-reid-nrhp-2003
wheeler-kohn-nrhp-1999.pdf,10,2018 S. Calumet Avenue,third-floor ceiling,11,ft,Mansard floor has smaller rooms than second floor.,1999 observation,pa-wheeler-kohn-nrhp-1999
wheeler-kohn-nrhp-1999.pdf,10,2018 S. Calumet Avenue,basement ceiling,10,ft,Kitchen and servants quarters identified.,1999 observation,pa-wheeler-kohn-nrhp-1999
wheeler-kohn-nrhp-1999.pdf,6,2018 S. Calumet Avenue,historic chimneys,4,count,Only two survived at nomination.,Historic/modern distinction stated by nomination; phase-date missing,pa-wheeler-kohn-nrhp-1999
