entity_id,field,value,source_ids,confidence
prairie-1800-glessner,construction,1886–1887,"[""G01""]",verified-catalog
prairie-1800-glessner,occupied,December 1887,"[""G04""]",verified-custodian
prairie-1800-glessner,architect,Henry Hobson Richardson,"[""G01""]",verified-catalog
prairie-1800-glessner,address,1800 South Prairie Avenue; southwest corner of 18th Street,"[""G01""]",verified-catalog
prairie-1800-glessner,foundation material,Illinois dolomite,"[""G02""]",verified-custodian
prairie-1800-glessner,wall material,Braggville pink granite facing common-brick structural wall,"[""G02""]",verified-custodian
prairie-1800-glessner,granite thickness,UNRESOLVED: 8–10 inches in House page versus about 7 inches in Collection sale-flyer discussion,"[""G02"", ""G03""]",conflict
prairie-1800-glessner,gross floor area,"over 17,000 square feet; not a precise measured quantity","[""G02""]",approximate-custodian
prairie-1800-glessner,plan configuration,E-shaped; courtyard oriented south,"[""G02"", ""G04""]",verified-custodian
prairie-1800-glessner,1904 lighting,Electric service installed summer 1892; kerosene lamps still documented 1901,"[""G07""]",verified-museum-citing-primary
prairie-1800-glessner,1892 interior change,Pretyman parlor wall covering; Morris wallpaper in other rooms,"[""G07""]",verified-museum-citing-primary
prairie-1800-glessner,corner guest room wallpaper,Double Bough from 1892; replaced with same pattern 1916,"[""G06""]",verified-custodian
prairie-1800-glessner,1904 basement activity,Frances Glessner silverwork bench introduced in 1904; exact month unverified,"[""G08""]",verified-custodian
prairie-1800-glessner,porte-cochere,"Historic carriage doors removed in 1950s, recreated from ca1888 photograph","[""G05""]",verified-custodian
prairie-1800-glessner,1923 photo use,Some altered lighting fixtures in 1923 photographs have uncertain installation dates,"[""G07""]",chronology-warning
pa-1612-1,construction,1869,"[""B-marker_north"", ""civic-bluebook-1904""]",reported; preserve conflicts
pa-1612-1,demolition,circa 1960,"[""B-marker_north"", ""civic-bluebook-1904""]",reported; preserve conflicts
pa-1638-2,construction,1868 (marker); 1870 (1973 report),"[""B-marker_north"", ""B-city1973"", ""civic-bluebook-1904""]",reported; preserve conflicts
pa-1638-2,demolition,1944 (marker); conflicts with report’s 1947 occupancy claim,"[""B-marker_north"", ""B-city1973"", ""civic-bluebook-1904""]",reported; preserve conflicts
pa-1638-2,architect,John W. Roberts,"[""B-marker_north"", ""B-city1973"", ""civic-bluebook-1904""]",reported; preserve conflicts
pa-1701-3,construction,1869,"[""B-marker_north"", ""civic-bluebook-1904""]",reported; preserve conflicts
pa-1701-3,demolition,1932,"[""B-marker_north"", ""civic-bluebook-1904""]",reported; preserve conflicts
pa-1701-3,architect,William Le Baron Jenney,"[""B-marker_north"", ""civic-bluebook-1904""]",reported; preserve conflicts
