building_id,source_id
pa-1612-1,B-marker_north
pa-1612-1,civic-bluebook-1904
pa-1638-2,B-marker_north
pa-1638-2,B-city1973
pa-1638-2,civic-bluebook-1904
pa-1701-3,B-marker_north
pa-1701-3,civic-bluebook-1904
pa-1721-4,B-marker_north
pa-1721-4,civic-bluebook-1904
pa-1729-5,B-marker_north
pa-1729-5,civic-bluebook-1904
pa-1808-6,B-marker_west
pa-1808-6,civic-bluebook-1904
pa-1812-7,B-marker_west
pa-1812-7,civic-bluebook-1904
pa-1824-8,B-marker_west
pa-1824-8,civic-bluebook-1904
pa-1834-9,B-marker_west
pa-1834-9,B-city1973
pa-1834-9,civic-bluebook-1904
pa-1912-10,B-marker_west
pa-1912-10,civic-bluebook-1904
pa-1936-11,B-marker_west
pa-1936-11,civic-bluebook-1904
pa-1815-12,B-marker_east
pa-1815-12,civic-bluebook-1904
pa-1823-13,B-marker_east
pa-1823-13,civic-bluebook-1904
pa-1827-14,B-marker_east
pa-1901-15,B-marker_east
pa-1901-15,civic-bluebook-1904
pa-1905-16,B-marker_east
pa-1905-16,civic-bluebook-1904
pa-2009-17,B-marker_south
pa-2009-17,civic-bluebook-1904
pa-2100-18,B-marker_south
pa-2115-19,B-marker_south
pa-2115-19,civic-bluebook-1904
pa-2126-20,B-marker_south
pa-2126-20,civic-bluebook-1904
pa-2140-21,B-marker_south
pa-2140-21,civic-bluebook-1904
pa-1800-22,B-marker_survivors
pa-1800-22,civic-bluebook-1904
pa-1800-22,G01
pa-1800-22,G02
pa-1800-22,G04
pa-1800-22,G07
pa-1800-22,MAP-1911-28
pa-1800-22,pa-glessner-habs-data
pa-1800-22,pa-glessner-habs-sheet-2
pa-1800-22,pa-glessner-habs-sheet-3
pa-1800-22,pa-glessner-habs-sheet-6
pa-1801-23,B-marker_survivors
pa-1801-23,B-kimball
pa-1801-23,civic-bluebook-1904
pa-1801-23,pa-kimball-habs-il1077
pa-1811-24,B-marker_survivors
pa-1900-25,B-marker_survivors
pa-1900-25,civic-bluebook-1904
pa-1919-26,B-marker_survivors
pa-1919-26,B-news
pa-1919-26,civic-bluebook-1904
pa-213–217-e.-cullerton-street-27,B-marker_survivors
pa-1827-s.-indiana-avenue-(modern-location)-28,B-marker_survivors
pa-2013-29,B-marker_outside
pa-2013-29,civic-bluebook-1904
pa-2013-29,pa-reid-nrhp-2003
pa-2110-30,B-marker_outside
pa-2110-30,B-reid_nom
pa-2110-30,civic-bluebook-1904
pa-2018-s.-calumet-avenue-31,B-marker_outside
pa-2018-s.-calumet-avenue-31,pa-wheeler-kohn-nrhp-1999
pa-1936-s.-michigan-avenue-32,B-marker_outside
pa-1816-33,B-city1973
pa-1816-33,civic-bluebook-1904
pa-1906-34,B-city1973
pa-1906-34,civic-bluebook-1904
pa-1923-35,B-news
pa-1923-35,civic-bluebook-1904
pa-2021-36,B-city1973
pa-2021-36,civic-bluebook-1904
pa-2027-37,B-city1973
pa-2027-37,civic-bluebook-1904
pa-2036-38,B-city1973
pa-2036-38,civic-bluebook-1904
pa-2112-39,B-news
pa-2112-39,civic-bluebook-1904
pa-2108-40,B-news
pa-2109-41,B-news
pa-2109-41,civic-bluebook-1904
pa-2130-42,B-news
pa-1702-43,B-early2
pa-1804–1808-s.-prairie-avenue-(predecessors)-44,B-early2
pa-1804–1808-s.-prairie-avenue-(predecessors)-44,civic-bluebook-1904
pa-1637-45,B-early4
pa-1637-45,civic-bluebook-1904
pa-1709-46,B-early4
pa-1709-46,civic-bluebook-1904
pa-1709-s.-prairie-avenue-(successor)-47,B-early4
pa-1709-s.-prairie-avenue-(successor)-47,civic-bluebook-1904
pa-1635-48,B-early4
pa-1736-49,B-early4
pa-1736-49,civic-bluebook-1904
pa-1630-50,B-early4
pa-1726–1728-s.-prairie-avenue-(predecessor)-51,B-early4
pa-1726–1728-s.-prairie-avenue-(predecessor)-51,civic-bluebook-1904
pa-1700-52,B-collection
pa-1700-52,civic-bluebook-1904
pa-1706-53,B-collection
pa-1706-53,civic-bluebook-1904
pa-1708-54,B-christmas
pa-1708-54,civic-bluebook-1904
pa-1720-55,B-burley
pa-1720-55,B-worlds
pa-1720-55,civic-bluebook-1904
pa-2008-s.-calumet-avenue-56,B-hanford
pa-2031-nrhp,B-reid_nom_acquired
pa-2031-nrhp,civic-bluebook-1904
pa-2031-nrhp,pa-reid-nrhp-2003
pa-2033-nrhp,B-reid_nom_acquired
pa-2033-nrhp,civic-bluebook-1904
pa-2035-nrhp,B-reid_nom_acquired
pa-2035-nrhp,civic-bluebook-1904
pa-1609-1904-correction,TYRE-20260923
pa-1609-1904-correction,MAP-1886
pa-1611-1904-correction,TYRE-20260923
pa-1611-1904-correction,MAP-1886
pa-1620-1904-correction,TYRE-20260923
pa-1620-1904-correction,MAP-1886
