address,street,side,sheet,source_file,observation_year,address_confidence,raw_story_basement_notation,map_material_interpretation,map_use_label,notes,dimensions_ft,footprint_digitized,id,source_id
1600,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,2B,brick,D,Corner dwelling; bay facing Prairie.,,False,frontage-20-001,MAP-1911-20
1604,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,3B; rear 2B,brick,D,,,False,frontage-20-002,MAP-1911-20
1608,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,2B,brick,D,,,False,frontage-20-003,MAP-1911-20
1612,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,2B,brick with stone front,D,,,False,frontage-20-004,MAP-1911-20
1616,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,2½B,brick,D,,,False,frontage-20-005,MAP-1911-20
1620,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,,none,vacant dwelling site with rear stable,No front dwelling in 1911; rear stable remains. Use 1886 exception for 1904.,,False,frontage-20-006,MAP-1911-20
1626,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,3B; rear 1B/2B,brick,D,Attached to 1628; rear stable.,,False,frontage-20-007,MAP-1911-20
1628,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,3B; rear 1B,brick,D,Attached to1626; rear stable.,,False,frontage-20-008,MAP-1911-20
1630,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,2BB,frame,D,Small attached dwelling.,,False,frontage-20-009,MAP-1911-20
1634,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,3B,brick with stone front,D,Attached to1636.,,False,frontage-20-010,MAP-1911-20
1636,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,3B,brick with stone front,D,Attached to1634.,,False,frontage-20-011,MAP-1911-20
1638,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,2BB,frame,D,Irregular footprint; rear stable.,,False,frontage-20-012,MAP-1911-20
1700,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,3B,brick,D,Number shares upper dwelling frontage with1702; verify entrance/address association.,,False,frontage-20-013,MAP-1911-20
1702,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,3B,brick,D,Number shares upper dwelling frontage with1700; verify entrance/address association.,,False,frontage-20-014,MAP-1911-20
1706,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,3B,brick,D,Attached southern dwelling.,,False,frontage-20-015,MAP-1911-20
1708,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,3B,brick,D,,,False,frontage-20-016,MAP-1911-20
1712,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,2B,brick with stone front,D,,,False,frontage-20-017,MAP-1911-20
1720,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,2BB,frame,D,Bay-front dwelling; large rear stable.,,False,frontage-20-018,MAP-1911-20
1726,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,2B,brick,D,,,False,frontage-20-019,MAP-1911-20
1730,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,3B; rear 2B,brick,D,,,False,frontage-20-020,MAP-1911-20
1736,South Prairie Avenue,west,20,1911 - Sheet 20(1).jpg,1911,high,3B,brick,D,Corner dwelling; rear garage.,,False,frontage-20-021,MAP-1911-20
1601,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,medium,2,frame,D,Small dwelling north of station.,,False,frontage-20-022,MAP-1911-20
1603,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,high,2,frame,Illinois Central R.R. 16th St. Station,1911 station use.,,False,frontage-20-023,MAP-1911-20
1607–1611,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,medium,4,brick,Auto Repairing 1st; Wind Shield Mfg. Abv.,1911 replacement block. Tyre identifies replaced1904 houses specifically as1609 and1611; do not back-project commercial use.,,False,frontage-20-024,MAP-1911-20
1613,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,high,4,brick,D,Attached rowhouse.,,False,frontage-20-025,MAP-1911-20
1615,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,high,4,brick,D,Attached rowhouse.,,False,frontage-20-026,MAP-1911-20
1619,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,high,4,brick with stone front,D,,,False,frontage-20-027,MAP-1911-20
1621,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,high,3B,brick,D,Attached group1621/1623/1625.,,False,frontage-20-028,MAP-1911-20
1623,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,high,3B,brick,D,Attached group1621/1623/1625.,,False,frontage-20-029,MAP-1911-20
1625,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,high,3B; section4,brick,D,Attached group1621/1623/1625.,,False,frontage-20-030,MAP-1911-20
1637,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,high,2½B,brick,D,Rear garage2.,,False,frontage-20-031,MAP-1911-20
1701,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,high,2½S.B.,brick,D,Rear garages2 and1½; open porch annotation.,,False,frontage-20-032,MAP-1911-20
1709,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,high,3B; rear2B/1B,brick,D,Irregular bay footprint; rear garage1½.,,False,frontage-20-033,MAP-1911-20
1719,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,high,3B; rear2B,brick,D,Two curved Prairie-facing bays; rear garage2B.,,False,frontage-20-034,MAP-1911-20
1729,South Prairie Avenue,east,20,1911 - Sheet 20(1).jpg,1911,high,3B,stone,D,Large irregular stone dwelling; rear stone garage2.,,False,frontage-20-035,MAP-1911-20
1800,South Prairie Avenue,west,28,1911 - Sheet 28(1).jpg,1911,high,2B,stone,D,U-shaped courtyard house; north wing fronts18thSt and includes garage. Glessner property.,,False,frontage-28-036,MAP-1911-28
1808,South Prairie Avenue,west,28,1911 - Sheet 28(1).jpg,1911,high,3B; rear2B,brick with stone front,D,,,False,frontage-28-037,MAP-1911-28
1812,South Prairie Avenue,west,28,1911 - Sheet 28(1).jpg,1911,high,3B,brick,D,,,False,frontage-28-038,MAP-1911-28
1816,South Prairie Avenue,west,28,1911 - Sheet 28(1).jpg,1911,high,3S.B.; rear2B,brick,D,Rounded projecting front bays.,,False,frontage-28-039,MAP-1911-28
1824,South Prairie Avenue,west,28,1911 - Sheet 28(1).jpg,1911,high,2½B; rear2B,brick with stone front,D,,,False,frontage-28-040,MAP-1911-28
1828,South Prairie Avenue,west,28,1911 - Sheet 28(1).jpg,1911,high,3B; rear2B,brick with stone front,D,,,False,frontage-28-041,MAP-1911-28
1834,South Prairie Avenue,west,28,1911 - Sheet 28(1).jpg,1911,high,3S.B.,brick with stone front,D,Open screened porch annotation.,,False,frontage-28-042,MAP-1911-28
1900,South Prairie Avenue,west,28,1911 - Sheet 28(1).jpg,1911,high,3B; rear1B,brick with stone front,D,,,False,frontage-28-043,MAP-1911-28
1906,South Prairie Avenue,west,28,1911 - Sheet 28(1).jpg,1911,high,3B,brick with stone front,D,Attached to1908.,,False,frontage-28-044,MAP-1911-28
1908,South Prairie Avenue,west,28,1911 - Sheet 28(1).jpg,1911,high,2½B; rear1B/2B,brick with stone front,D,Attached to1906.,,False,frontage-28-045,MAP-1911-28
1912,South Prairie Avenue,west,28,1911 - Sheet 28(1).jpg,1911,high,2½B; rear3B,stone with brick rear,D,,,False,frontage-28-046,MAP-1911-28
