address,street,year_label,source_id,source_locator,listed_people,verification,limits
1600,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,John G. Shortall,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1604,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,John L. Shortall household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1608,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Henry L. Frank household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1612,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Charles Edward Brown; George F. Brown; George F. Brown Jr.,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1616,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,William R. Stirling household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1619,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Howard E. Perry household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1620,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,F. VanS. Hibbard household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1621,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,John H. Hamline household; George A. Mead,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1625,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Hugh J. McBirney household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1626,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,A. Longini household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1628,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,M. Einstein household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1634,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Erastus Foote; T. H. Bellas household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1636,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,H. Morris Johnston household; H. McB. Johnston; Morris L. Johnston,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1637,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,William Gold Hibbard Jr. household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1638,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Robert B. Gregory household; Elizabeth Gregory; Miss Gregory,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1700,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Blewett Lee household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1701,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. William Gold Hibbard; Mrs. O. Van Schaack Ward,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1706,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,J. G. M. Glessner household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1708,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,A. A. Carpenter Jr. household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1709,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Jesse Spalding household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1712,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,George A. McKinlock household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1720,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. James M. Walker,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1721,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Henry H. Walker household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1726,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,James R. Walker household,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1729,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. George M. Pullman,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
1730,Prairie Avenue,1904,civic-bluebook-1904,printed pp.186–187; PDF pp.188–189,Mrs. Joseph E. Otis,OCR-derived factual candidate; visual source-page check pending,"Selected names only; does not establish complete household, ownership, vacancy or building geometry."
