id,title,url,kind,date,notes,rights_status,retrieval_status,local_path,preview_path
B-marker_north,Lost Houses: 1600–1700 blocks,https://www.hmdb.org/m.asp?m=308722,Historic interpretive marker transcription,retrospective; see source,Historic interpretive marker transcription,citation_only,reviewed research source; see dossier for reading limits,,
B-marker_west,Lost Houses: 1800–1900 west,https://www.hmdb.org/m.asp?m=308706,Historic interpretive marker transcription,retrospective; see source,Historic interpretive marker transcription,citation_only,reviewed research source; see dossier for reading limits,,
B-marker_east,Lost Houses: 1800–1900 east,https://www.hmdb.org/m.asp?m=308709,Historic interpretive marker transcription,retrospective; see source,Historic interpretive marker transcription,citation_only,reviewed research source; see dossier for reading limits,,
B-marker_south,Lost Houses: 2000–2100 blocks,https://www.hmdb.org/m.asp?m=308703,Historic interpretive marker transcription,retrospective; see source,Historic interpretive marker transcription,citation_only,reviewed research source; see dossier for reading limits,,
B-marker_survivors,A Heritage Preserved,https://www.hmdb.org/m.asp?m=308723,Historic interpretive marker transcription,retrospective; see source,Historic interpretive marker transcription,citation_only,reviewed research source; see dossier for reading limits,,
B-marker_outside,Outside the District,https://www.hmdb.org/m.asp?m=308724,Historic interpretive marker transcription,retrospective; see source,Historic interpretive marker transcription,citation_only,reviewed research source; see dossier for reading limits,,
B-city1973,"Prairie Avenue: Chicago’s First Gold Coast, March 1973",https://reports.chicagolandmarkreports.org/prairie-avenue-district.pdf,City Commission on Chicago Historical and Architectural Landmarks research report,retrospective; see source,City Commission on Chicago Historical and Architectural Landmarks research report,citation_only,reviewed research source; see dossier for reading limits,,
B-early2,"Early History of Prairie Avenue, Part II",https://glessnerhouse.blogspot.com/2020/06/the-early-history-of-prairie-avenue_23.html,"Glessner House Museum research, 2020-06-23",retrospective; see source,"Glessner House Museum research, 2020-06-23",citation_only,reviewed research source; see dossier for reading limits,,
B-early4,"Early History of Prairie Avenue, Part IV",https://glessnerhouse.blogspot.com/2020/07/the-early-history-of-prairie-avenue.html,"Glessner House Museum research, 2020-07-07",retrospective; see source,"Glessner House Museum research, 2020-07-07",citation_only,reviewed research source; see dossier for reading limits,,
B-news,Prairie Avenue in the News,https://fannyglessner.wordpress.com/the-household-2/the-neighborhood/prairie-avenue-in-the-news/,Glessner House institutional research archive,retrospective; see source,Glessner House institutional research archive,citation_only,reviewed research source; see dossier for reading limits,,
B-collection,The Collection,https://www.glessnerhouse.org/the-collection,Glessner House Museum,retrospective; see source,Glessner House Museum,citation_only,reviewed research source; see dossier for reading limits,,
